#genome_folder  kingdom domain  class   order   family  genus   species strain
GD_ZH_bin_243/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_254/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_258/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_261/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_266/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_27/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_28/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_3/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_30/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_35/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_36/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_37/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_38/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_43/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_51/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_62/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_69/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_8/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_81/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_83/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_89/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_9/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_93/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GD_ZH_bin_95/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_10/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_100/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_101/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_103/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_105/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_12/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_134/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_14/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_17/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_27/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_29/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_33/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_37/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_42/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_43/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_5/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_52/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_59/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_66/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_69/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_80/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_94/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_95/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GX_BH_bin_97/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
HN_SY_bin_105/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
HN_SY_bin_119/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
HN_SY_bin_121/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
HN_SY_bin_140/	Bacteria	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
